title;custom__category;base_url;custom__name_en;custom__unirank;custom__forbes_rank;custom__raex_rank;custom__qs_rank;custom__the_rank;custom__city;custom__region;page__1;page__2;page__3;site_error;vi_not_work;vi_found;vi_m_f;vi_b_f;vi_is_panel;vi_is_apply_changes;vi_is_reload;vi_is_cross_pages;vi_font_sizes;vi_color_schemes;vi_pictures_modes;vi_font_sizes_wc;vi_color_schemes_wc;vi_pictures_switch_wc;vi_line_spacing;vi_letter_spacing;vi_scroll;vi_scale_br;vi_another_content;vi_fonts_switch;site_engine;vi_source;site_lang;site_front;site_crm
Казанский Государственный энергетический университет;общий;https://kgeu.ru/;Kazan State Power Engineering University;188;;;;;Казань;16;https://kgeu.ru/;https://kgeu.ru/Abitur;https://kgeu.ru/Section/News?idSection=4&pageNum=0;;;1;1;1;1;1;;1;10;5;3;1;1;1;1;1;1;1;;2;;isvek.ru (bvi);asp.net;;
Балтийский федеральный университет им. Иммануила Канта;общий;https://kantiana.ru/;Immanuel Kant Baltic Federal University;56;67;77;20;9;Калининград;39;https://kantiana.ru/;https://kantiana.ru/abiturientu/;https://kantiana.ru/learners/process-obuchenija/studencheskaja-zhizn/student-government/;;;1;1;1;1;1;;1;10;5;3;1;1;1;1;1;;;;3;1c-bitrix;;php;;
Калининградский государственный технический университет;общий технический;http://www.klgtu.ru/;Kaliningrad State Technical University;223;;;;;Калининград;39;http://www.klgtu.ru/;https://klgtu.ru/abitur/;https://klgtu.ru/students/studgroup/;;;1;1;1;1;1;;1;3;3;2;1;0;1;;;1;1;;;1c-bitrix;bitrix special-aaVersion;php;;
Калужский государственный университет им. К.Э. Циолковского;общий;https://tksu.ru/;Kaluga State University;213;;;;;Калуга;40;https://tksu.ru/;https://tksu.ru/abitur/;https://tksu.ru/students/life/;;;1;1;1;1;1;;1;3;3;2;1;0;1;;;;;;;1c-bitrix;bitrix special-aaVersion;php;;
Камчатский государственный университет им. Витуса Беринга;общий;http://www.kamgu.ru/;;;;;;;Петропавловск-Камчатский;41;http://www.kamgu.ru/;http://www.kamgu.ru/abitur/?customize_changeset_uuid=dc68a1b2-fc30-4cab-b407-258b86dd4180&customize_autosaved=on;http://www.kamgu.ru/sample-page/studentam/;;;1;1;1;1;1;;1;10;5;3;1;1;1;1;1;;1;;2;wordpress;isvek.ru (bvi);php;;
Карачаево-Черкесский государственный университет имени У. Д. Алиева;общий;https://kchgu.ru/;;;;;;;Карачаевск;9;https://kchgu.ru/;https://kchgu.ru/abitur/;https://kchgu.ru/studentam-kchgu/;;;1;;1;1;1;;1;4;3;;1;1;;;;;;;;wordpress;;php;;
Северо-Кавказская государственная академия;общий;http://ncsa.ru/;;;;;;;Черкесск;9;http://ncsa.ru/;https://ncsa.ru/page/content/abitur.html;https://ncsa.ru/page/content/249/centr_studencheskogo_tvorchestva.html;;;1;1;1;;1;1;;;;;;;;;;;;;;;;php;;
Петрозаводский государственный университет;общий;https://petrsu.ru/;Petrozavodsk State University;63;;72;;;Петрозаводск;10;https://petrsu.ru/;https://petrsu.ru/page/aggr/abit;https://petrsu.ru/page/students;;;1;;1;1;1;1;1;3;2;;1;1;;;;;;;;yii;;php;;
Кемеровский государственный университет;общий;https://kemsu.ru/;Kemerovo State University;77;;;;;Кемерово;42;https://kemsu.ru/;https://kemsu.ru/abiturient/;https://kemsu.ru/life/student-organizations/;;;1;1;1;1;1;;1;3;3;;;;;;;;;;;1c-bitrix;bitrix special-aaVersion;php;;
Ковровская государственная технологическая академия им. Дегтярева В. А.;общий;https://dksta.ru/;;;;;;;Ковров;33;https://dksta.ru/;https://dksta.ru/abitur;https://dksta.ru/studentu;;;1;1;1;1;1;1;1;4;5;2;1;0;1;;1;;;;2;;;;;
Государственный Социально-Гуманитарный университет (бывш. КПИ, КГПИ, МГОСГИ);гуманитарный;http://gukolomna.ru/;;;;92;;;Коломна;50;http://gukolomna.ru/;http://gukolomna.ru/abitur/index.php;http://gukolomna.ru/obrazovanie/tsentra-nepreryvnogo-povysheniya-professionalnogo-masterstva-pedagogicheskikh-rabotnikov.php;;;1;1;1;1;1;;1;3;3;2;1;0;0;;;1;;;;1c-bitrix;bitrix special-aaVersion;php;;
